wl,Goodenia_heterophylla,Goodenia_geniculata
433,30.68519232,20.66915727
434,30.73230841,22.06499408
435,30.77793392,23.43101264
436,30.824055,24.7475308
437,30.87265781,25.99486641
438,30.92572849,27.15333731
439,30.97713547,28.34695786
440,31.01991489,29.69198348
441,31.05480441,31.15709363
442,31.08254171,32.7109678
443,31.10386446,34.32228545
444,31.11951033,35.95972605
445,31.13021701,37.59196908
446,31.13672216,39.187694
447,31.13976347,40.71558029
448,31.14007859,42.14430743
449,31.13840522,43.44255487
450,31.13548101,44.5790021
451,31.12759656,45.64225748
452,31.11112599,46.73508961
453,31.08693238,47.84741829
454,31.05587875,48.96916331
455,31.01882816,50.09024449
456,30.97664367,51.20058163
457,30.9301883,52.29009452
458,30.88032512,53.34870298
459,30.82791716,54.36632681
460,30.77382748,55.3328858
461,30.71891913,56.23829976
462,30.66405514,57.0724885
463,30.61009858,57.82537181
464,30.55274241,58.48285975
465,30.48775112,59.04644999
466,30.41609501,59.52944378
467,30.3387444,59.94514237
468,30.25666959,60.30684701
469,30.17084088,60.62785895
470,30.08222859,60.92147943
471,29.99180301,61.20100971
472,29.90053445,61.47975103
473,29.80939323,61.77100463
474,29.71934964,62.08807178
475,29.63137399,62.44425371
476,29.54374218,62.77898085
477,29.45401247,63.03107009
478,29.36207869,63.21290238
479,29.26783469,63.33685869
480,29.17117431,63.41531997
481,29.07199139,63.4606672
482,28.97017977,63.48528134
483,28.8656333,63.50154333
484,28.75824582,63.52183416
485,28.64791116,63.55853477
486,28.53452317,63.62402612
487,28.41797569,63.73068919
488,28.29816256,63.89090493
489,28.17383679,64.068623
490,28.04423657,64.22215246
491,27.9099835,64.35541338
492,27.77169919,64.47232579
493,27.63000524,64.57680975
494,27.48552327,64.67278533
495,27.33887488,64.76417256
496,27.19068167,64.85489151
497,27.04156527,64.94886222
498,26.89214726,65.05000476
499,26.74304927,65.16223917
500,26.59489289,65.28948551
501,26.44265163,65.42705312
502,26.28185139,65.56710034
503,26.11394241,65.70882075
504,25.94037493,65.85140788
505,25.76259919,65.99405531
506,25.58206544,66.13595658
507,25.40022391,66.27630525
508,25.21852484,66.41429488
509,25.03841847,66.54911903
510,24.86135505,66.67997126
511,24.68878481,66.80604511
512,24.52215799,66.92653416
513,24.36292484,67.04063194
514,24.20538072,67.14962678
515,24.0434431,67.25543843
516,23.87799537,67.35820769
517,23.70992091,67.45807531
518,23.54010312,67.55518209
519,23.36942537,67.64966878
520,23.19877107,67.74167618
521,23.02902359,67.83134506
522,22.86106632,67.91881618
