wl,limlow,limhigh
396,8.733835034283413,1.754255691325513
397,8.846085070152885,1.7946375631166251
398,8.981689335104594,1.8438511560011812
399,9.131677627391765,1.9002768978834808
400,9.28666483833034,1.9624840360822942
401,9.437261521812955,2.0292923230675384
402,9.574446491604306,2.099831390074914
403,9.68988609275339,2.1735861227438225
404,9.776192486058275,2.2504164805236657
405,9.82712003007029,2.330542287580876
406,9.837703955642702,2.4144874779918215
407,9.804348725352654,2.502983719878873
408,9.724874812031278,2.5968395915307525
409,9.598532398869732,2.6967876024305877
410,9.425989093095113,2.8033262749715453
411,9.209296579029612,2.916577228350277
412,8.951838614218914,3.0361770457212924
413,8.658260250099183,3.1612204879484582
414,8.334375948204642,3.290265775302559
415,7.987052640159213,3.4214051470848386
416,7.624062989542391,3.5523959691090123
417,7.253904362631277,3.6808405070442562
418,6.8855804466243855,3.804397038326553
419,6.528345108509375,3.921001707708009
420,6.1914118529389555,4.029079474334546
421,5.883636805279584,4.127723383180683
422,5.613187995226153,4.216823842746807
423,5.387218141307458,4.297133281249511
424,5.211561334290559,4.370256296278082
425,5.0904752306516015,4.438561125903851
426,5.02644905837934,4.505014861988507
427,5.020093749674199,4.57295204705755
428,5.070124168421461,4.645793606950787
429,5.173435479639781,4.7267396182951
430,5.325267332391796,4.818464125658319
431,5.51944192540777,4.922842062971471
432,5.748656276170225,5.040736580810431
433,6.00480583306195,5.171869622196062
434,6.279316183675329,5.314790047018734
435,6.563461765361047,5.466943255115146
436,6.848654551401479,5.624835742382155
437,7.12669084854319,5.784278947048666
438,7.3899497696739385,5.9406902873470395
439,7.631541945988037,6.089425982571519
440,7.845411142588773,6.226119926249525
441,8.026394405390333,6.34700485945872
442,8.17024816839122,6.449195443672788
443,8.273648510705167,6.530916667528622
444,8.334173676798393,6.5916647158722235
445,8.35027629085039,6.632290731983812
446,8.32125161961447,6.655000933277518
447,8.247206938669091,6.663269681816549
448,8.129035654779775,6.661665847812603
449,7.968398403880765,6.6555975237345635
450,7.767711912562068,6.650985950981705
451,7.5301449885231335,6.6538860934037505
452,7.259619591121373,6.670077859431813
453,6.960813534409898,6.704657403757379
454,6.639160025280781,6.761660969289599
455,6.300838013398782,6.8437533020057675
456,5.952746355337663,6.95200826830701
457,5.602454256569154,7.085801184728509
458,5.258120581023141,7.24282159733978
459,4.928375653906047,7.419203486232704
460,4.622161337986553,7.609758989957769
461,4.348528536424282,7.808293370894445
462,4.116395775794738,8.007974086918095
463,3.9342778014385518,8.201725720920404
464,3.809998538877114,8.382624634167948
465,3.7504074675423347,8.544271529774463
466,3.7611214437621823,8.681125417868675
467,3.846314440250034,8.78878763805599
468,4.008575039044896,8.864228793588227
469,4.248845880049229,8.905954262363267
470,4.566451313251569,8.914105352477545
471,4.959210444145242,8.890493483289504
472,5.423624082451323,8.838564554878102
473,5.955117208839508,8.763290602404531
474,6.548314463549916,8.67098660383931
475,7.197325229541314,8.56905248303842
476,7.896016895010181,8.465644236053917
477,8.63825910682099,8.369283648552381
478,9.418127281973359,8.28842276337491
479,10.230059336368818,8.230986155688703
480,11.06896471374094,8.20391990991996
481,11.93028883711058,8.212779609931124
