wl,lomandra1
298.32,3.813
298.53,3.813
298.73,3.8455
298.94,3.8485
299.15,3.818
299.36,3.798
299.56,3.825
299.77,3.793
299.98,3.797
300.18,3.82
300.39,3.824
300.6,3.8305
300.81,3.8165
301.01,3.8125
301.22,3.8215
301.43,3.7995
301.63,3.794
301.84,3.7835
302.05,3.766
302.26,3.7575
302.46,3.725
302.67,3.7115
302.88,3.7145
303.08,3.729
303.29,3.756
303.5,3.776
303.7,3.746
303.91,3.7295
304.12,3.756
304.32,3.754
304.53,3.7725
304.74,3.8
304.95,3.772
305.15,3.8205
305.36,3.8005
305.57,3.779
305.77,3.778
305.98,3.769
306.19,3.775
306.39,3.757
306.6,3.7625
306.81,3.745
307.01,3.7595
307.22,3.732
307.43,3.722
307.63,3.742
307.84,3.7515
308.05,3.7375
308.25,3.75
308.46,3.7535
308.67,3.758
308.88,3.774
309.08,3.765
309.29,3.7665
309.5,3.787
309.7,3.766
309.91,3.765
310.12,3.766
310.32,3.765
310.53,3.808
310.74,3.818
310.94,3.8105
311.15,3.819
311.36,3.7995
311.56,3.804
311.77,3.7785
311.98,3.7735
312.18,3.7725
312.39,3.7715
312.59,3.76
312.8,3.7865
313.01,3.7955
313.21,3.796
313.42,3.8095
313.63,3.7835
313.83,3.7945
314.04,3.804
314.25,3.7865
314.45,3.809
314.66,3.788
314.87,3.788
315.07,3.811
315.28,3.818
315.49,3.837
315.69,3.833
315.9,3.8275
316.11,3.851
316.31,3.8665
316.52,3.89
316.72,3.883
316.93,3.889
317.14,3.8905
317.34,3.8685
317.55,3.853
317.76,3.8785
317.96,3.8605
318.17,3.8595
318.38,3.9055
318.58,3.9125
318.79,3.923
318.99,3.9065
319.2,3.918
319.41,3.9265
319.61,3.917
319.82,3.9465
320.03,3.924
320.23,3.922
320.44,3.922
320.64,3.946
320.85,3.9615
321.06,3.99
321.26,3.9605
321.47,3.9355
321.68,3.9285
321.88,3.9065
322.09,3.884
322.29,3.8965
322.5,3.8795
322.71,3.8655
322.91,3.8575
323.12,3.8705
323.32,3.861
323.53,3.853
323.74,3.8655
323.94,3.821
324.15,3.81
324.36,3.7925
324.56,3.7575
324.77,3.7455
324.97,3.726
325.18,3.725
325.39,3.704
325.59,3.676
325.8,3.699
326,3.706
326.21,3.7025
326.42,3.6935
326.62,3.695
326.83,3.652
327.03,3.6365
327.24,3.6165
327.45,3.612
327.65,3.591
327.86,3.5935
328.06,3.627
328.27,3.596
328.47,3.584
328.68,3.568
328.89,3.5555
329.09,3.5285
329.3,3.542
329.5,3.5285
329.71,3.544
329.92,3.5305
330.12,3.524
330.33,3.5435
330.53,3.5385
330.74,3.503
330.94,3.51
331.15,3.5175
331.36,3.516
331.56,3.5335
331.77,3.5515
331.97,3.579
332.18,3.587
332.39,3.6305
332.59,3.6615
332.8,3.6805
333,3.6845
333.21,3.697
333.41,3.68
333.62,3.69
333.82,3.713
334.03,3.713
334.24,3.725
334.44,3.7105
334.65,3.696
334.85,3.737
335.06,3.7355
335.26,3.735
335.47,3.7415
335.68,3.7635
335.88,3.755
336.09,3.7575
336.29,3.772
336.5,3.767
336.7,3.783
336.91,3.777
337.11,3.8155
337.32,3.834
337.52,3.8395
337.73,3.814
337.94,3.801
338.14,3.822
338.35,3.8375
338.55,3.84
338.76,3.8565
338.96,3.857
339.17,3.8745
339.37,3.8715
339.58,3.88
339.78,3.8895
339.99,3.8655
340.2,3.8655
340.4,3.837
340.61,3.8385
340.81,3.8285
341.02,3.828
341.22,3.8095
341.43,3.815
341.63,3.8415
341.84,3.8505
342.04,3.8505
342.25,3.846
342.45,3.8415
342.66,3.8095
342.86,3.8385
343.07,3.8515
343.27,3.817
343.48,3.8165
343.69,3.789
343.89,3.776
344.1,3.7665
344.3,3.76
344.51,3.753
344.71,3.749
344.92,3.7295
345.12,3.7305
345.33,3.7505
345.53,3.728
345.74,3.7075
345.94,3.7275
346.15,3.73
346.35,3.7405
346.56,3.725
346.76,3.7275
346.97,3.7235
347.17,3.7035
347.38,3.7315
347.58,3.7515
347.79,3.7435
347.99,3.729
348.2,3.711
348.4,3.726
348.61,3.727
348.81,3.7365
349.02,3.7285
349.22,3.732
349.43,3.7155
349.63,3.7305
349.84,3.7225
350.04,3.702
350.25,3.7105
350.45,3.7155
350.66,3.6945
350.86,3.715
351.07,3.7315
351.27,3.7265
351.48,3.7205
351.68,3.713
351.89,3.7105
352.09,3.7485
352.3,3.7595
352.5,3.743
352.71,3.7325
352.91,3.7385
353.11,3.727
353.32,3.749
353.52,3.7615
353.73,3.754
353.93,3.758
354.14,3.756
354.34,3.7515
354.55,3.768
354.75,3.7565
354.96,3.7595
355.16,3.768
355.37,3.7655
355.57,3.78
355.78,3.759
355.98,3.753
356.19,3.747
356.39,3.749
356.59,3.7745
356.8,3.7535
357,3.728
357.21,3.7365
357.41,3.734
357.62,3.716
357.82,3.7075
358.03,3.7045
358.23,3.7055
358.44,3.69
358.64,3.689
358.84,3.677
359.05,3.69
359.25,3.671
359.46,3.666
359.66,3.6615
359.87,3.6695
360.07,3.6715
360.28,3.674
360.48,3.6645
360.68,3.655
360.89,3.669
361.09,3.6735
361.3,3.6645
361.5,3.668
361.71,3.6555
361.91,3.634
362.12,3.63
362.32,3.6335
362.52,3.6355
362.73,3.628
362.93,3.616
363.14,3.616
363.34,3.618
363.55,3.6085
363.75,3.611
363.95,3.606
364.16,3.619
364.36,3.615
364.57,3.6325
364.77,3.626
364.98,3.6145
365.18,3.631
365.38,3.6495
365.59,3.6335
365.79,3.6275
366,3.6385
366.2,3.6615
366.41,3.668
366.61,3.67
366.81,3.678
367.02,3.682
367.22,3.6875
367.43,3.6875
367.63,3.7105
367.83,3.714
368.04,3.7
368.24,3.687
368.45,3.6775
368.65,3.686
368.85,3.6905
369.06,3.701
369.26,3.702
369.47,3.7135
369.67,3.724
369.87,3.7125
370.08,3.7165
370.28,3.722
370.49,3.73
370.69,3.7325
370.89,3.731
371.1,3.7405
371.3,3.733
371.51,3.68
371.71,3.682
371.91,3.6785
372.12,3.685
372.32,3.693
372.53,3.6755
372.73,3.664
372.93,3.6675
373.14,3.6645
373.34,3.6645
373.54,3.6605
373.75,3.654
373.95,3.6525
374.16,3.659
374.36,3.65
374.56,3.635
374.77,3.624
374.97,3.6025
375.17,3.6115
375.38,3.598
375.58,3.593
375.79,3.584
375.99,3.5695
376.19,3.5595
376.4,3.5805
376.6,3.579
376.8,3.597
377.01,3.59
377.21,3.5945
377.42,3.604
377.62,3.6135
377.82,3.6175
378.03,3.6235
