Online Appendix to Endler & Mielke 2005
Values *  100         UV - type eye                               V - type eye
WAVELN     UVS+T     SWS+C     MWS+Y     LWS+R         UVS+T     SWS+C     MWS+Y     LWS+R
 423.0  0.079724  0.430369  0.000000  0.000000      1.103851  0.000000  0.000000  0.000000
 424.0  0.070586  0.483311  0.000000  0.000000      1.097038  0.000000  0.000000  0.000000
 425.0  0.062436  0.537887  0.000000  0.000000      1.089300  0.000000  0.000000  0.000000
 426.0  0.055181  0.593661  0.000000  0.000000      1.080632  0.000000  0.000000  0.000000
 427.0  0.048734  0.650200  0.000000  0.000000      1.071031  0.000000  0.000000  0.000000
 428.0  0.043013  0.707085  0.000000  0.000000      1.060497  0.000001  0.000000  0.000000
 429.0  0.037944  0.763918  0.000000  0.000000      1.049031  0.000002  0.000000  0.000000
 430.0  0.033458  0.820328  0.000000  0.000000      1.036640  0.000007  0.000000  0.000000
 431.0  0.029493  0.875973  0.000000  0.000000      1.023331  0.000020  0.000000  0.000000
 432.0  0.025990  0.930546  0.000000  0.000000      1.009114  0.000055  0.000000  0.000000
 433.0  0.022898  0.983773  0.000000  0.000000      0.994003  0.000137  0.000000  0.000000
 434.0  0.020172  1.035414  0.000000  0.000000      0.978015  0.000317  0.000000  0.000000
 435.0  0.017769  1.085262  0.000000  0.000000      0.961170  0.000684  0.000000  0.000000
 436.0  0.015652  1.133143  0.000000  0.000000      0.943489  0.001386  0.000000  0.000000
 437.0  0.013787  1.178911  0.000000  0.000000      0.925001  0.002644  0.000000  0.000000
 438.0  0.012146  1.222448  0.000000  0.000000      0.905735  0.004780  0.000000  0.000000
 439.0  0.010701  1.263663  0.000000  0.000000      0.885722  0.008223  0.000000  0.000000
 440.0  0.009429  1.302485  0.000000  0.000000      0.865001  0.013515  0.000000  0.000000
 441.0  0.008310  1.338865  0.000000  0.000000      0.843610  0.021307  0.000000  0.000000
 442.0  0.007326  1.372771  0.000000  0.000000      0.821592  0.032330  0.000000  0.000000
 443.0  0.006459  1.404186  0.000000  0.000000      0.798993  0.047366  0.000000  0.000000
 444.0  0.005697  1.433105  0.000000  0.000000      0.775863  0.067199  0.000000  0.000000
 445.0  0.005026  1.459537  0.000000  0.000000      0.752252  0.092566  0.000000  0.000000
 446.0  0.004435  1.483497  0.000000  0.000000      0.728217  0.124107  0.000000  0.000000
 447.0  0.003915  1.505010  0.000000  0.000000      0.703815  0.162315  0.000000  0.000000
 448.0  0.003458  1.524106  0.000000  0.000000      0.679107  0.207507  0.000000  0.000000
 449.0  0.003054  1.540822  0.000000  0.000000      0.654154  0.259793  0.000000  0.000000
 450.0  0.002699  1.555196  0.000000  0.000000      0.629023  0.319072  0.000000  0.000000
 451.0  0.002386  1.567271  0.000000  0.000000      0.603779  0.385031  0.000000  0.000000
 452.0  0.002111  1.577092  0.000000  0.000000      0.578491  0.457163  0.000000  0.000000
 453.0  0.001867  1.584708  0.000000  0.000000      0.553228  0.534791  0.000000  0.000000
 454.0  0.001653  1.590165  0.000000  0.000000      0.528061  0.617100  0.000000  0.000000
 455.0  0.001464  1.593514  0.000000  0.000000      0.503060  0.703175  0.000000  0.000000
 456.0  0.001297  1.594805  0.000000  0.000000      0.478294  0.792031  0.000000  0.000000
 457.0  0.001149  1.594090  0.000000  0.000000      0.453834  0.882655  0.000000  0.000000
 458.0  0.001019  1.591420  0.000000  0.000000      0.429747  0.974034  0.000000  0.000000
 459.0  0.000904  1.586848  0.000000  0.000000      0.406099  1.065185  0.000000  0.000000
 460.0  0.000802  1.580426  0.000000  0.000000      0.382953  1.155176  0.000000  0.000000
 461.0  0.000712  1.572209  0.000000  0.000000      0.360369  1.243144  0.000000  0.000000
 462.0  0.000632  1.562251  0.000000  0.000000      0.338402  1.328310  0.000000  0.000000
 463.0  0.000562  1.550607  0.000000  0.000000      0.317104  1.409984  0.000000  0.000000
 464.0  0.000500  1.537332  0.000000  0.000000      0.296519  1.487570  0.000000  0.000000
 465.0  0.000444  1.522484  0.000000  0.000000      0.276690  1.560570  0.000000  0.000000
 466.0  0.000395  1.506120  0.000000  0.000000      0.257648  1.628575  0.000000  0.000000
 467.0  0.000352  1.488300  0.000000  0.000000      0.239423  1.691267  0.000000  0.000000
 468.0  0.000313  1.469085  0.000000  0.000000      0.222035  1.748412  0.000000  0.000000
 469.0  0.000279  1.448534  0.000000  0.000000      0.205500  1.799849  0.000000  0.000000
 470.0  0.000249  1.426711  0.000000  0.000000      0.189825  1.845490  0.000000  0.000000
 471.0  0.000222  1.403681  0.000000  0.000000      0.175011  1.885304  0.000000  0.000000
 472.0  0.000198  1.379507  0.000000  0.000000      0.161055  1.919317  0.000000  0.000000
 473.0  0.000177  1.354257  0.000000  0.000000      0.147946  1.947601  0.000000  0.000000
 474.0  0.000158  1.327998  0.000000  0.000000      0.135670  1.970266  0.000000  0.000000
 475.0  0.000141  1.300798  0.000000  0.000000      0.124205  1.987457  0.000000  0.000000
 476.0  0.000126  1.272727  0.000000  0.000000      0.113528  1.999345  0.000000  0.000000
 477.0  0.000113  1.243855  0.000000  0.000000      0.103612  2.006126  0.000000  0.000000
 478.0  0.000101  1.214253  0.000000  0.000000      0.094426  2.008009  0.000000  0.000000
 479.0  0.000090  1.183992  0.000000  0.000000      0.085936  2.005222  0.000000  0.000000
 480.0  0.000081  1.153144  0.000000  0.000000      0.078110  1.997997  0.000000  0.000000
 481.0  0.000072  1.121781  0.000000  0.000000      0.070910  1.986578  0.000000  0.000000
 482.0  0.000065  1.089975  0.000000  0.000000      0.064301  1.971210  0.000000  0.000000
 483.0  0.000058  1.057798  0.000000  0.000000      0.058246  1.952141  0.000000  0.000000
 484.0  0.000052  1.025321  0.000000  0.000000      0.052710  1.929619  0.000000  0.000000
 485.0  0.000047  0.992616  0.000001  0.000000      0.047658  1.903889  0.000000  0.000000
 486.0  0.000042  0.959753  0.000002  0.000000      0.043053  1.875195  0.000000  0.000000
 487.0  0.000038  0.926802  0.000006  0.000000      0.038864  1.843775  0.000000  0.000000
 488.0  0.000034  0.893832  0.000014  0.000000      0.035059  1.809865  0.000000  0.000000
 489.0  0.000031  0.860911  0.000029  0.000000      0.031606  1.773691  0.000001  0.000000
 490.0  0.000027  0.828105  0.000060  0.000000      0.028477  1.735478  0.000003  0.000000
 491.0  0.000025  0.795479  0.000119  0.000000      0.025645  1.695439  0.000009  0.000000
 492.0  0.000022  0.763098  0.000225  0.000000      0.023084  1.653784  0.000023  0.000000
 493.0  0.000020  0.731022  0.000409  0.000000      0.020771  1.610716  0.000056  0.000000
 494.0  0.000018  0.699314  0.000719  0.000000      0.018684  1.566426  0.000124  0.000000
 495.0  0.000016  0.668029  0.001222  0.000000      0.016801  1.521104  0.000260  0.000000
 496.0  0.000015  0.637225  0.002010  0.000000      0.015104  1.474928  0.000519  0.000000
 497.0  0.000013  0.606956  0.003207  0.000000      0.013576  1.428071  0.000984  0.000000
 498.0  0.000012  0.577271  0.004975  0.000000      0.012201  1.380697  0.001781  0.000000
 499.0  0.000011  0.548220  0.007514  0.000000      0.010963  1.332964  0.003088  0.000000
 500.0  0.000010  0.519847  0.011068  0.000000      0.009851  1.285022  0.005146  0.000000
 501.0  0.000009  0.492195  0.015923  0.000000      0.008851  1.237016  0.008263  0.000000
 502.0  0.000008  0.465302  0.022402  0.000000      0.007952  1.189080  0.012818  0.000000
 503.0  0.000007  0.439204  0.030866  0.000000      0.007144  1.141345  0.019259  0.000000
 504.0  0.000006  0.413931  0.041697  0.000000      0.006419  1.093934  0.028089  0.000000
 505.0  0.000006  0.389510  0.055294  0.000000      0.005768  1.046963  0.039852  0.000000
 506.0  0.000005  0.365966  0.072054  0.000000      0.005183  1.000540  0.055111  0.000000
 507.0  0.000005  0.343316  0.092362  0.000000      0.004658  0.954770  0.074418  0.000000
